edge_type,source_id,source_name,source_genre,source_release_date,source_notable,source_notoriety_date,target_id,target_name,target_genre,target_release_date,target_notable
InterpolatesFrom,7180,Aviator's First Dance,Oceanus Folk,2023,True,2023,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,16582,Drowning in Denial,Oceanus Folk,2023,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
InterpolatesFrom,7235,The Last Letter to Julianne,Oceanus Folk,2023,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
LyricalReferenceTo,3076,Nullify the Provocateur,Indie Folk,2023,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
CoverOf,3542,Privacy's Edge,Indie Folk,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,16510,Waiting for That Moment,Space Rock,2026,True,2026,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,8453,Bullets and Badges,Oceanus Folk,2026,True,,12691,Winds of the Basque Shore,Oceanus Folk,2017,True
InStyleOf,8295,Hail of Mercy,Alternative Rock,2029,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
InterpolatesFrom,14767,Saturday's Last Light,Space Rock,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InterpolatesFrom,16530,Ghosting Memories,Desert Rock,2029,True,,9096,Grip and Grace,Oceanus Folk,2017,True
InterpolatesFrom,3520,Aerial Conquistadors,Oceanus Folk,2026,True,,3025,Destiny's Call,Oceanus Folk,2017,False
DirectlySamples,8153,Restless Phantoms,Oceanus Folk,2020,True,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
LyricalReferenceTo,7351,Silent Frequencies,Desert Rock,2027,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
CoverOf,3457,Magnetic Desire,Indie Folk,2023,True,,16225,Blueprint Whispers,Oceanus Folk,2017,True
InterpolatesFrom,3457,Magnetic Desire,Indie Folk,2023,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
CoverOf,7876,Falling Without a Parachute,Oceanus Folk,2027,True,2027,9096,Grip and Grace,Oceanus Folk,2017,True
InStyleOf,7876,Falling Without a Parachute,Oceanus Folk,2027,True,2027,13327,Harmonic Latitude 458,Oceanus Folk,2017,True
InterpolatesFrom,8504,Arachnid Aria,Space Rock,2028,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,6976,Thorns Between My Fingers,Indie Folk,2025,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
CoverOf,10173,Echoes of Yesterday,Desert Rock,2026,True,,14762,Heavenly Radiance,Oceanus Folk,2017,True
DirectlySamples,3891,Melodía de Sentimientos,Desert Rock,2023,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,9861,Stalemate,Desert Rock,2026,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,3037,Visions Beyond the Horizon,Oceanus Folk,2020,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,3909,Everything's Alright,Oceanus Folk,2020,True,,9096,Grip and Grace,Oceanus Folk,2017,True
LyricalReferenceTo,1313,Radiance of the Heart,Synthwave,2029,True,,15441,Choreography of Forbidden Passion,Oceanus Folk,2017,True
InStyleOf,1313,Radiance of the Heart,Synthwave,2029,True,,6417,Whispers from a Distant Refrain,Oceanus Folk,2017,True
InStyleOf,1253,Leather Skin Confession,Oceanus Folk,2022,True,,3025,Destiny's Call,Oceanus Folk,2017,False
LyricalReferenceTo,6976,Thorns Between My Fingers,Indie Folk,2025,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
DirectlySamples,9631,Fading Echoes of Annabel,Desert Rock,2029,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,9571,Echoes of the Sámi Horizon,Oceanus Folk,2023,True,,9096,Grip and Grace,Oceanus Folk,2017,True
InStyleOf,1069,Behind the Picture Glass,Synthwave,2026,True,,3025,Destiny's Call,Oceanus Folk,2017,False
CoverOf,9493,Heroes of Honor,Oceanus Folk,2029,True,,3194,Abundance Overflowing,Oceanus Folk,2017,True
InStyleOf,757,Mirage of Memories,Oceanus Folk,2023,True,,6994,Clocktower Cadence,Oceanus Folk,2017,True
InterpolatesFrom,6827,Fading Echoes,Doom Metal,2027,True,,16225,Blueprint Whispers,Oceanus Folk,2017,True
InterpolatesFrom,16192,The Question That Lingers,Oceanus Folk,2026,True,,6818,Paradise Parallel,Oceanus Folk,2017,True
InterpolatesFrom,925,Liminal Passage,Indie Folk,2027,False,,14762,Heavenly Radiance,Oceanus Folk,2017,True
LyricalReferenceTo,16402,Les Ailes Célestes,Dream Pop,2029,True,,3025,Destiny's Call,Oceanus Folk,2017,False
DirectlySamples,9489,Echoes of the Grande Armée,Indie Folk,2029,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,6569,Whispers of the Lô,Desert Rock,2029,True,,3025,Destiny's Call,Oceanus Folk,2017,False
InStyleOf,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,13438,Whispers of Forever,Oceanus Folk,2019,True
LyricalReferenceTo,15415,Pale Light of Farewell,Oceanus Folk,2023,True,,13438,Whispers of Forever,Oceanus Folk,2019,True
CoverOf,3362,Rising From the Shadows,Synthwave,2022,True,,13438,Whispers of Forever,Oceanus Folk,2019,True
InStyleOf,5559,Infused Intentions,Synthpop,2023,True,,10105,Boundless Threshold,Oceanus Folk,2020,True
InStyleOf,14767,Saturday's Last Light,Space Rock,2023,True,,3909,Everything's Alright,Oceanus Folk,2020,True
InStyleOf,4299,Último intento (Last attempt),Desert Rock,2030,False,,8153,Restless Phantoms,Oceanus Folk,2020,True
DirectlySamples,6661,"Magnolia Nights, Southern Lights",Doom Metal,2023,True,,8107,Reckless Hearts,Oceanus Folk,2020,True
CoverOf,14047,Montmartre Petals,Space Rock,2022,True,,16276,Perimeter,Oceanus Folk,2020,True
InStyleOf,1823,Rebel Without a Pause,Oceanus Folk,2029,True,,8153,Restless Phantoms,Oceanus Folk,2020,True
LyricalReferenceTo,12744,The Crucible of Strings,Synthwave,2030,True,,8881,Shylock's Shadows,Oceanus Folk,2020,True
InStyleOf,12490,Celestial Praise,Oceanus Folk,2029,True,,3909,Everything's Alright,Oceanus Folk,2020,True
DirectlySamples,9861,Stalemate,Desert Rock,2026,True,,8651,Resonant Tongue,Oceanus Folk,2020,True
LyricalReferenceTo,11130,Denali's Whisper,Space Rock,2027,True,,16276,Perimeter,Oceanus Folk,2020,True
CoverOf,5620,The Weight of Your Absence,Synthwave,2028,True,,3037,Visions Beyond the Horizon,Oceanus Folk,2020,True
LyricalReferenceTo,7492,Hang Up (On You),Desert Rock,2027,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InterpolatesFrom,15571,The Ballad of Kristian's Heart,Oceanus Folk,2023,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InStyleOf,1489,Perfection's Reflection,Oceanus Folk,2023,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InStyleOf,15937,Atlantic Winds of Agadir,Dream Pop,2027,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InStyleOf,11655,Whispers Between Lovers,Oceanus Folk,2026,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InStyleOf,4077,Starlit Passion,Jazz Surf Rock,2023,True,,16457,Manger's Midnight,Oceanus Folk,2021,True
InterpolatesFrom,14750,Rumor's Daughter,Jazz Surf Rock,2028,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
DirectlySamples,13691,Silent Goodbye,Indie Folk,2026,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
InStyleOf,13509,Altar of Promises,Americana,2023,True,,2662,Rhythm Revolution,Oceanus Folk,2022,True
InterpolatesFrom,1629,Legionary's Lament,Desert Rock,2023,True,,2662,Rhythm Revolution,Oceanus Folk,2022,True
InStyleOf,4393,Whispers from Below,Oceanus Folk,2029,True,2029,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
LyricalReferenceTo,13280,Cash Charisma,Indie Folk,2030,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
CoverOf,9861,Stalemate,Desert Rock,2026,True,,14198,Timón de Esperanza,Oceanus Folk,2022,True
CoverOf,9493,Heroes of Honor,Oceanus Folk,2029,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
CoverOf,9655,Echoes Within,Oceanus Folk,2029,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
CoverOf,6976,Thorns Between My Fingers,Indie Folk,2025,True,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
InStyleOf,12882,Cardiac Whispers,Oceanus Folk,2026,True,,2662,Rhythm Revolution,Oceanus Folk,2022,True
InStyleOf,7147,Distant Horizons,Oceanus Folk,2029,False,,7224,Postcards from Julianne's Heart,Oceanus Folk,2022,True
LyricalReferenceTo,9631,Fading Echoes of Annabel,Desert Rock,2029,True,,14198,Timón de Esperanza,Oceanus Folk,2022,True
InterpolatesFrom,9631,Fading Echoes of Annabel,Desert Rock,2029,True,,757,Mirage of Memories,Oceanus Folk,2023,True
InStyleOf,15989,Reps and Rhythm,Symphonic Metal,2028,True,,16400,Aquatic Rebirth (1983),Oceanus Folk,2023,True
InStyleOf,15937,Atlantic Winds of Agadir,Dream Pop,2027,True,,15027,Fragments of Unresolved Dialogues,Oceanus Folk,2023,True
CoverOf,17354,Seven Fathoms Deep,Oceanus Folk,2031,True,2031,7180,Aviator's First Dance,Oceanus Folk,2023,True
CoverOf,9446,Classical Fragments,Desert Rock,2027,True,,11978,Sparks Unbound,Oceanus Folk,2023,True
CoverOf,9446,Classical Fragments,Desert Rock,2027,True,,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
InStyleOf,9090,Palms of Passage,Oceanus Folk,2028,True,,886,Loud and Clear,Oceanus Folk,2023,True
InStyleOf,3275,"My Heart, Your Lifeline",Desert Rock,2023,True,,11978,Sparks Unbound,Oceanus Folk,2023,True
InterpolatesFrom,6489,Whispers of Imagination,Space Rock,2027,True,,886,Loud and Clear,Oceanus Folk,2023,True
InStyleOf,7441,Nothing Left Untried,Desert Rock,2030,True,2030,6941,Echoes of Devotion,Oceanus Folk,2023,True
LyricalReferenceTo,14940,Faded Polaroids,Oceanus Folk,2025,True,2038,3367,Courage in Quiet Moments,Oceanus Folk,2023,True
InterpolatesFrom,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,6428,Echoes of Joy,Oceanus Folk,2023,True
InStyleOf,7147,Distant Horizons,Oceanus Folk,2029,False,,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
InStyleOf,3711,Wings of the Southern Cross,Oceanus Folk,2024,True,,15973,When Angels Breathe,Oceanus Folk,2023,True
CoverOf,577,Roadmap to Your Heart,Space Rock,2027,True,,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
LyricalReferenceTo,6569,Whispers of the Lô,Desert Rock,2029,True,,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
InStyleOf,6569,Whispers of the Lô,Desert Rock,2029,True,,3367,Courage in Quiet Moments,Oceanus Folk,2023,True
DirectlySamples,6065,Push Through the Doubt,Dream Pop,2029,True,,757,Mirage of Memories,Oceanus Folk,2023,True
InStyleOf,8295,Hail of Mercy,Alternative Rock,2029,True,,886,Loud and Clear,Oceanus Folk,2023,True
InterpolatesFrom,9090,Palms of Passage,Oceanus Folk,2028,True,,6941,Echoes of Devotion,Oceanus Folk,2023,True
InStyleOf,14444,Workers' Bloom,Indie Folk,2030,True,,10406,The Misplaced Heir,Oceanus Folk,2023,True
InStyleOf,13260,Whispers of Harvest Stillness,Indie Folk,2027,True,,6428,Echoes of Joy,Oceanus Folk,2023,True
CoverOf,13033,Caravans and Starlight,Indie Folk,2027,True,2027,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
InStyleOf,12744,The Crucible of Strings,Synthwave,2030,True,,3956,Eternal Light Descends,Oceanus Folk,2023,True
InterpolatesFrom,12213,Unbound Waters,Synthwave,2023,True,,3956,Eternal Light Descends,Oceanus Folk,2023,True
InterpolatesFrom,11914,Patience Worn Thin,Indie Folk,2027,True,,3956,Eternal Light Descends,Oceanus Folk,2023,True
CoverOf,9655,Echoes Within,Oceanus Folk,2029,True,,3956,Eternal Light Descends,Oceanus Folk,2023,True
LyricalReferenceTo,1874,Dusty Miles,Dream Pop,2023,True,,16582,Drowning in Denial,Oceanus Folk,2023,True
InStyleOf,13691,Silent Goodbye,Indie Folk,2026,True,,757,Mirage of Memories,Oceanus Folk,2023,True
InStyleOf,10903,Parallel Memories,Dream Pop,2028,True,,16400,Aquatic Rebirth (1983),Oceanus Folk,2023,True
LyricalReferenceTo,10270,Crossing the Promised Boundary,Post-Apocalyptic Folk,2026,True,,14720,Crimson Ledger of the Desert Riders,Oceanus Folk,2023,True
DirectlySamples,11808,Negotiator's Lament,Indie Folk,2029,True,,6428,Echoes of Joy,Oceanus Folk,2023,True
LyricalReferenceTo,10160,Morning's Hallucinogenic Feast,Indie Folk,2028,True,,8396,Whispers of Deceit,Oceanus Folk,2023,True
InterpolatesFrom,14220,Grip of Memory,Oceanus Folk,2026,False,,16400,Aquatic Rebirth (1983),Oceanus Folk,2023,True
CoverOf,14220,Grip of Memory,Oceanus Folk,2026,False,,3367,Courage in Quiet Moments,Oceanus Folk,2023,True
InStyleOf,10173,Echoes of Yesterday,Desert Rock,2026,True,,757,Mirage of Memories,Oceanus Folk,2023,True
DirectlySamples,577,Roadmap to Your Heart,Space Rock,2027,True,,3711,Wings of the Southern Cross,Oceanus Folk,2024,True
InStyleOf,10160,Morning's Hallucinogenic Feast,Indie Folk,2028,True,,7982,Twelve Months of You,Oceanus Folk,2024,True
InterpolatesFrom,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,15271,Wrapped in Your Warmth,Oceanus Folk,2024,True
LyricalReferenceTo,1629,Legionary's Lament,Desert Rock,2023,True,,12067,Fragments of Friendship,Oceanus Folk,2024,True
InStyleOf,16729,Battlefield Solitude,Oceanus Folk,2029,True,,7982,Twelve Months of You,Oceanus Folk,2024,True
InterpolatesFrom,13047,Kingdom Within,Desert Rock,2029,True,,12362,Dust and Spurs,Oceanus Folk,2024,True
LyricalReferenceTo,7441,Nothing Left Untried,Desert Rock,2030,True,2030,7982,Twelve Months of You,Oceanus Folk,2024,True
InStyleOf,10636,Prophetic Shadows,Jazz Surf Rock,2027,True,,13538,Summer of '76,Oceanus Folk,2024,True
InterpolatesFrom,13396,Waiting by the Phone,Oceanus Folk,2029,True,,12067,Fragments of Friendship,Oceanus Folk,2024,True
DirectlySamples,9446,Classical Fragments,Desert Rock,2027,True,,13516,Rings and Revelations,Oceanus Folk,2024,True
InStyleOf,6577,Currents of Homeland,Jazz Surf Rock,2029,True,,7982,Twelve Months of You,Oceanus Folk,2024,True
InStyleOf,9090,Palms of Passage,Oceanus Folk,2028,True,,12362,Dust and Spurs,Oceanus Folk,2024,True
DirectlySamples,7056,Reflected Strangers,Synthwave,2024,True,,3711,Wings of the Southern Cross,Oceanus Folk,2024,True
InStyleOf,7147,Distant Horizons,Oceanus Folk,2029,False,,13516,Rings and Revelations,Oceanus Folk,2024,True
InStyleOf,6065,Push Through the Doubt,Dream Pop,2029,True,,12067,Fragments of Friendship,Oceanus Folk,2024,True
InStyleOf,4945,Beyond the Price Tag,Desert Rock,2026,False,,3828,Fragments of Flight,Oceanus Folk,2025,True
InStyleOf,6065,Push Through the Doubt,Dream Pop,2029,True,,3828,Fragments of Flight,Oceanus Folk,2025,True
DirectlySamples,17112,Embers & Echoes,Post-Apocalyptic Folk,2031,True,,17268,Deepsea Fireflies,Oceanus Folk,2025,False
LyricalReferenceTo,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,3828,Fragments of Flight,Oceanus Folk,2025,True
InterpolatesFrom,9446,Classical Fragments,Desert Rock,2027,True,,8714,Luminous Silence,Oceanus Folk,2025,True
InStyleOf,17156,City Lights & Cigarette Dreams,Synthpop,2031,True,,7687,Geologic Pulse,Oceanus Folk,2026,True
InterpolatesFrom,17367,The Cartographer's Curse,Oceanus Folk,2035,True,2035,3520,Aerial Conquistadors,Oceanus Folk,2026,True
CoverOf,14666,Close Enough to Touch,Oceanus Folk,2029,True,,13027,Shadows Beneath the Palm,Oceanus Folk,2026,True
CoverOf,1435,Luminous Beam,Oceanus Folk,2023,True,,3520,Aerial Conquistadors,Oceanus Folk,2026,True
CoverOf,1823,Rebel Without a Pause,Oceanus Folk,2029,True,,9912,Silent Eulogy at Your Feet,Oceanus Folk,2026,True
InterpolatesFrom,3031,The One I've Been Waiting For,Desert Rock,2028,True,,8858,Chromatic Reflections on a Theme,Oceanus Folk,2026,True
CoverOf,4299,Último intento (Last attempt),Desert Rock,2030,False,,2169,Brake Lights and Broken Hearts,Oceanus Folk,2026,True
InStyleOf,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,10159,Synaptic Cereal Spoon,Oceanus Folk,2026,True
LyricalReferenceTo,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,11655,Whispers Between Lovers,Oceanus Folk,2026,True
CoverOf,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,3520,Aerial Conquistadors,Oceanus Folk,2026,True
InterpolatesFrom,7213,Ephemeral Beauty's Embrace,Indie Folk,2029,True,2036,2169,Brake Lights and Broken Hearts,Oceanus Folk,2026,True
InterpolatesFrom,15590,Beyond Moderation,Indie Rock,2027,False,,13027,Shadows Beneath the Palm,Oceanus Folk,2026,True
DirectlySamples,8453,Bullets and Badges,Oceanus Folk,2026,True,,3520,Aerial Conquistadors,Oceanus Folk,2026,True
InterpolatesFrom,8292,Blue and Orange Blood,Desert Rock,2029,True,,11578,Whispers in the Unknown,Oceanus Folk,2026,True
InterpolatesFrom,9446,Classical Fragments,Desert Rock,2027,True,,7687,Geologic Pulse,Oceanus Folk,2026,True
InterpolatesFrom,10173,Echoes of Yesterday,Desert Rock,2026,True,,10159,Synaptic Cereal Spoon,Oceanus Folk,2026,True
CoverOf,10636,Prophetic Shadows,Jazz Surf Rock,2027,True,,16264,Ceremonial Footsteps,Oceanus Folk,2026,True
InStyleOf,12138,Unbreakable Divine Shelter,Oceanus Folk,2030,True,,8858,Chromatic Reflections on a Theme,Oceanus Folk,2026,True
DirectlySamples,12816,Whispers from the Unwritten Score,Synthwave,2029,True,,3520,Aerial Conquistadors,Oceanus Folk,2026,True
LyricalReferenceTo,13135,Spellbound Shadows,Dream Pop,2029,True,,8858,Chromatic Reflections on a Theme,Oceanus Folk,2026,True
LyricalReferenceTo,14444,Workers' Bloom,Indie Folk,2030,True,,11679,Snapshot of Forever,Oceanus Folk,2026,True
InterpolatesFrom,9214,Unsere gemeinsame Stimme,Desert Rock,2028,True,,3520,Aerial Conquistadors,Oceanus Folk,2026,True
DirectlySamples,12816,Whispers from the Unwritten Score,Synthwave,2029,True,,12625,Whispers Between Dimensions,Oceanus Folk,2027,True
InStyleOf,4945,Beyond the Price Tag,Desert Rock,2026,False,,7876,Falling Without a Parachute,Oceanus Folk,2027,True
InStyleOf,13404,Voice Beyond the Line,Dream Pop,2028,True,,7876,Falling Without a Parachute,Oceanus Folk,2027,True
CoverOf,14416,Parchment and Heresy,Dream Pop,2027,True,,4352,Laughter's Sharp EdgeQuesto Momento Fragile (This Fragile Moment),Oceanus Folk,2028,True
LyricalReferenceTo,9493,Heroes of Honor,Oceanus Folk,2029,True,,9090,Palms of Passage,Oceanus Folk,2028,True
InterpolatesFrom,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,4393,Whispers from Below,Oceanus Folk,2029,True
LyricalReferenceTo,5035,Skogens Fortelling (The Forest's Tale),Space Rock,2028,True,,12138,Unbreakable Divine Shelter,Oceanus Folk,2030,True
InStyleOf,17125,When the Tide Calls My Name,Oceanus Folk,2037,True,,17245,Cresting Waves,Oceanus Folk,2030,False
